"No","Judul","Topik","","",""
"173","RANCANG BANGUN ARSITEKTUR JARINGAN KOMPUTER TEKNOLOGI METROPOLITAN AREA NETWORK (MAN) DENGAN MENGGUNAKAN METODE NETWORK DEVELOPMENT LIFE CYCLE (NDLC) (Studi Kasus Universitas Majalengka)","Jaringan Komputer","","",""
"174","Rancangan Penerapan Metode Spanning Tree untuk Transmisi Data Pada Jaringan Laboratorium Komputer","Jaringan Komputer","","",""
"175","Sistem Monitoring Perangkat Jaringan Menggunakan Protokol SNMP Dengan Notifikasi Email","Jaringan Komputer","","",""
"176","SNIFFING PADA JARINGAN WIFI BERBASIS PROTOKOL 802.1X MENGGUNAKAN APLIKASI WIRESHARK","Jaringan Komputer","","",""
"177","WORKSHOP SIMULASI JARINGAN DASAR KOMPUTER MENGGUNAKAN CISCO PACKET TRACER","Jaringan Komputer","","",""
"178","RANCANG BANGUN KEAMANAN JARINGAN WIRELESS PADA STIPER SRIWIGAMA PALEMBANG DENGAN RADIUS SERVER","Jaringan Komputer","","",""
"179","READINESS ASSESSMENT PENERAPAN MEDIA PEMBELAJARAN PENGENALAN HARDWARE JARINGAN KOMPUTER BERBASIS AUGMENTED REALITY","Jaringan Komputer","","",""
"180","IMPLEMENTASI MIKROTIK ROUTER BOARD 750 SEBAGAI FIREWALL BLOK SITUS PADA JARINGAN LAN","Jaringan Komputer","","",""
"181","ANALISA PERBANDINGAN METODE JARINGAN SYARAF TIRUAN DENGAN METODE SISTEM PENDUKUNG KEPUTUSAN UNTUK PENERIMAAN TENAGA KERJA","Jaringan Syaraf Tiruan","","",""
"182","Analisis Jaringan Syaraf Tiruan untuk prediksi volume ekspor dan impor migas di Indonesia","Jaringan Syaraf Tiruan","","",""
"183","Desain Faktorial untuk Pembuktian Teori Masters dalam Penentuan Jumlah Lapisan dan Neuron Tersembunyi pada Peramalan Multivariat dengan Jaringan Syaraf Tiruan","Jaringan Syaraf Tiruan","","",""
"184","DETEKSI GANGGUAN LAMBUNG MELALUI CITRA IRIS MATA MENGGUNAKAN METODE JARINGAN SYARAF TIRUAN HEBB RULE","Jaringan Syaraf Tiruan","","",""
"185","Identifikasi Jenis dan Mutu Teh Menggunakan Pengolahan Citra Digital dengan Metode Jaringan Syaraf Tiruan","Jaringan Syaraf Tiruan","","",""
"186","IDENTIFIKASI KEMATANGAN BUAH TOMAT BERDASARKAN WARNA MENGGUNAKAN METODE JARINGAN SYARAF TIRUAN (JST)","Jaringan Syaraf Tiruan","","",""
"187","Implementasi Jaringan Syaraf Tiruan Backpropagation untuk Mendiagnosis Penyakit Kulit pada Anak","Jaringan Syaraf Tiruan","","",""
"188","Implementasi Jaringan Syaraf Tiruan Resilient Backpropagation dalam Memprediksi Angka Harapan Hidup Masyarakat Sumatera Utara","Jaringan Syaraf Tiruan","","",""
"189","IMPLEMENTASI JARINGAN SYARAF TIRUAN UNTUK MEMPREDIKSI PENJUALAN KOSMETIK DECORATIVE DENGAN METODE BACKPROPOGATION","Jaringan Syaraf Tiruan","","",""
"190","IMPLEMENTASI JARINGAN SYARAF TIRUAN UNTUK PENGELOMPOKKAN MINAT KOMPETENSI MAHASISWA STMIK PELITA NUSANTARA MEDAN","Jaringan Syaraf Tiruan","","",""
"191","JARINGAN SYARAF TIRUAN MENGGUNAKAN METODE PERCEPTRON UNTUK MENENTUKAN PENYAKIT PADA TANAMAN BUAH NANAS","Jaringan Syaraf Tiruan","","",""
"192","JARINGAN SYARAF TIRUAN UNTUK MEMPREDIKSI LAJU PERTUMBUHAN PENDUDUK MENGGUNAKAN METODE BACPROPAGATION (STUDI KASUS DI KOTA BENGKULU)","Jaringan Syaraf Tiruan","","",""
"193","JARINGAN SYARAF TIRUAN UNTUK MEMPREDIKSI SKOR PERTANDINGAN SEPAK BOLA DENGAN METODE BACKPROPAGATION","Jaringan Syaraf Tiruan","","",""
"194","Jaringan Syaraf Tiruan Untuk Pengenalan Citra Sidik Jari Pada Smart Home Berbasis MYSQL","Jaringan Syaraf Tiruan","","",""
"195","KLASIFIKASI POLA SIDIK JARI MENGGUNAKAN JARINGAN SYARAF TIRUAN BACKPROPAGATION UNTUK ANALISA KARAKTERISTIK SESEORANG","Jaringan Syaraf Tiruan","","",""
"196","KOMBINASI LOGIKA FUZZY DAN JARINGAN SYARAF TIRUAN UNTUK PRAKIRAAN CURAH HUJAN TIMESERIES DI AREA PUSPO-JAWA TIMUR","Jaringan Syaraf Tiruan","","",""
"197","MODEL JARINGAN SYARAF TIRUAN DALAM MEMPREDIKSI EKSISTENSI PROGRAM STUDI KOMPUTERISASI AKUNTANSI (STUDI KASUS  AMIK TUNAS BANGSA PEMATANGSIANTAR)","Jaringan Syaraf Tiruan","","",""
"198","Model Jaringan Syaraf Tiruan Dalam Memprediksi Produksi Susu Segar Di Indonesia Berdasarkan Propinsi","Jaringan Syaraf Tiruan","","",""
"199","MODEL JARINGAN SYARAF TIRUAN MEMPREDIKSI EKSPOR MINYAK SAWIT MENURUT NEGARA TUJUAN UTAMA","Jaringan Syaraf Tiruan","","",""
"200","PEMODELAN JARINGAN SYARAF TIRUAN DENGAN ALGORITMA ONE STEP SECANT BACKPROPAGATION DALAM RETURN KURS RUPIAH TERHADAP DOLAR AMERIKA SERIKAT","Jaringan Syaraf Tiruan","","",""
"201","Pemodelan Jaringan Syaraf Tiruan untuk Memprediksi Color Difference Tepung Sagu pada Pneumatic Conveying Recirculated Dryer","Jaringan Syaraf Tiruan","","",""
"202","Penerapan Algoritme Jaringan Syaraf Tiruan Backpropagation pada Pengklasifikasian Status Gizi Balita","Jaringan Syaraf Tiruan","","",""
"203","Penerapan Jaringan Syaraf Tiruan Untuk Memprediksi Jumlah Pengangguran di Provinsi Kalimantan Timur Dengan Menggunakan Algoritma Pembelajaran Backpropagation","Jaringan Syaraf Tiruan","","",""
"204","PENGEMBANGAN SUMBER BELAJAR MATAKULIAH SISTEM CERDAS KOMPETENSI JARINGAN SYARAF TIRUAN","Jaringan Syaraf Tiruan","","",""
"205","Peningkatan Akurasi Klasifikasi Tingkat Penguasaan Materi Bahan Ajar Menggunakan Jaringan Syaraf Tiruan Dan Algoritma Genetika","Jaringan Syaraf Tiruan","","",""
"206","PERAMALAN JUMLAH PERMINTAAN UDANG BEKU PND MENGGUNAKAN METODE JARINGAN SYARAF TIRUAN (JST) BACKPROPAGATION","Jaringan Syaraf Tiruan","","",""
"207","Peramalan Produksi Gula Menggunakan Metode Jaringan Syaraf Tiruan Backpropagation Pada PG Candi Baru Sidoarjo","Jaringan Syaraf Tiruan","","",""
"208","Perubahan perilaku Non-Player Character (NPC) pada Game Arabic Hunter menggunakan Jaringan Syaraf Tiruan Perceptron","Jaringan Syaraf Tiruan","","",""
"209","PREDIKSI DISTRIBUSI AIR PDAM MENGGUNAKAN METODE JARINGAN SYARAF TIRUAN BACKPROPAGATION DI PDAM KOTA MALANG","Jaringan Syaraf Tiruan","","",""
"210","PREDIKSI HARGA JUAL SUKU CADANG IMPOR MESIN ROKOK DENGAN JARINGAN SYARAF TIRUAN","Jaringan Syaraf Tiruan","","",""
"211","PREDIKSI JUMLAH LULUSAN MAHASISWA STMIK DUMAI MENGGUNAKAN JARINGAN SYARAF TIRUAN","Jaringan Syaraf Tiruan","","",""
"212","Prediksi Jumlah Permintaan Koran Menggunakan Metode Jaringan Syaraf Tiruan Backpropagation","Jaringan Syaraf Tiruan","","",""
"213","Prediksi Produktivitas Padi Menggunakan Jaringan Syaraf Tiruan Backpropagation","Jaringan Syaraf Tiruan","","",""
"214","Prediksi Tingkat Keuntungan Usaha Peternakan Itik Alabio Petelur menggunakan Jaringan Syaraf Tiruan Backpropagation (Kasus di Kabupaten Hulu Sungai Utara Kalimantan Selatan)","Jaringan Syaraf Tiruan","","",""
"215","Prediksi Volume Penggunaan Air PDAM Menggunakan Metode Jaringan Syaraf Tiruan Backpropagation","Jaringan Syaraf Tiruan","","",""
"216","SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN MAHASISWA BERPRESTASI MENGGUNAKAN JARINGAN SYARAF TIRUAN BACK PROPAGATION","Jaringan Syaraf Tiruan","","",""
"217","STUDI ESTIMASI BEBAN HARIAN SISTEM INTERKONEKSI SULSELBAR 2015 DENGAN METODE JARINGAN SYARAF TIRUAN","Jaringan Syaraf Tiruan","","",""
"218","Detektor Kebohongan Dengan Analisis Pembesaran Diameter Pupil Dan Pergerakan Mata Menggunakan Metode Jaringan Syaraf Tiruan Hopfield Net","Jaringan Syaraf Tiruan","","",""
"219","MODEL JARINGAN SYARAF TIRUAN UNTUK MEMPREDIKSI KADAR AIR BAHAN PADA PNEUMATIC CONVEYING RECIRCULATED DRYER","Jaringan Syaraf Tiruan","","",""
"220","Pengembangan Model Jaringan Syaraf Tiruan untuk Memprediksi Jumlah Mahasiswa Baru di PTS Surabaya (Studi Kasus Universitas Wijaya Putra)","Jaringan Syaraf Tiruan","","",""
"221","REKAYASA PERANGKAT LUNAK PADA DATA NASABAH KREDIT PERMAISURI BERBASIS WEB","Rekayasa Perangkat Lunak","","",""
"222","Pengembangan Aplikasi Manajemen Informasi Sedekah Berbagi Makanan Berbasis Android Dengan Metode Rekayasa Perangkat Lunak Berorientasi Penggunaan Ulang","Rekayasa Perangkat Lunak","","",""
"223","Analisis Pemilihan Penerapan Proyek Metodologi Pengembangan Rekayasa Perangkat Lunak","Rekayasa Perangkat Lunak","","",""
"224","DIGITAL LIBRARY JURNAL DAN ARTIKEL DENGAN MODUL AUTOMATIC CITATION FORMAT BERBASIS WEB","Rekayasa Perangkat Lunak","","",""
"225","PERANCANGAN PERANGKAT LUNAK SISTEM INFORMASI REKAM MEDIS BERBASIS CLIENT-SERVER STUDI KASUS KLINIK CIPANAS","Rekayasa Perangkat Lunak","","",""
"226","Rekayasa Perangkat Lunak Berbasis Android sebagai Media Informasi Akademik Siswa SMK PKP 2 Jakarta","Rekayasa Perangkat Lunak","","",""
"227","REKAYASA PERANGKAT LUNAK PEMESANAN TIKET BIOSKOP BERBASIS WEB","Rekayasa Perangkat Lunak","","",""
"228","REKAYASA PERANGKAT LUNAK PENGOLAHAN DATA PRODUK MASUK DAN KELUAR MENGGUNAKAN PHP DAN MySQL (Studi Kasus  Suzuya Rocky Plaza Padang)","Rekayasa Perangkat Lunak","","",""
"229","REKAYASA PERANGKAT LUNAK KRIPTOGRAFI MENGGUNAKAN ALGORITMA ADVANCED ENCRYPTION STANDARD (AES) 128 BIT PADA SISTEM KEAMANAN SHORT MESSAGE SERVICE (SMS) BERBASIS ANDROID","Rekayasa Perangkat Lunak","","",""
"230","REKAYASA PERANGKAT LUNAK ORDERING BIBIT RAMBUTAN OKULASI BERBASIS ANDROID MENGGUNAKAN ECLIPSE","Rekayasa Perangkat Lunak","","",""
"231","PERANCANGAN APLIKASI PERANGKAT LUNAK PENGELOLAAN DATA BANK SAMPAH DI PT. INPOWER KARYA MANDIRI GARUT","Rekayasa Perangkat Lunak","","",""
"232","Rekayasa Perangkat Lunak Aplikasi Keputusan Multi Kriteria dengan Algoritma Analytic Network Process (ANP) Berbasis Android","Rekayasa Perangkat Lunak","","",""
"233","Perangkat Lunak Diagnosa Penyakit Pada Manusia Berbasis Sistem Pakar","Rekayasa Perangkat Lunak","","",""
"234","REKAYASA PERANGKAT LUNAK UNTUK PENGEVALUASIAN KUALITAS JARINGAN FIBER OPTIK BERBASIS WEB PADA PGAS COM","Rekayasa Perangkat Lunak","","",""
"235","REKAYASA PERANGKAT LUNAK PENGENDALIAN INVENTORI MENGGUNAKAN METODE SMA (SINGLE MOVING AVERAGE) BERBASIS AJAX (ASYNCHRONOUS JAVASCRIPT AND XML) (STUDI KASUS PTP NUSANTARA VI (Persero) UNIT USAHA KAYU ARO )","Rekayasa Perangkat Lunak","","",""
"236","REKAYASA PERANGKAT LUNAK PADA INFORMASI PEMETAAN LOKASI WISATA DI LAMPUNG","Rekayasa Perangkat Lunak","","",""
"237","Rekayasa Augmented Reality Planet dalam Tata Surya sebagai Media Pembelajaran Bagi Siswa SMP Negeri 57 Palembang","Rekayasa Perangkat Lunak","","",""
"238","REKAYASA MODEL PERANGKAT LUNAK GEOGRAFIS PARIWISATA UNTUK PENCARIAN WISATA TEMPAT UMUM DAN TEMPAT TRANSPORTASI KOTA PALEMBANG","Rekayasa Perangkat Lunak","","",""
"239","PERANCANGAN PERANGKAT LUNAK SISTEM INFORMASI PENDATAAN GURU DAN SEKOLAH (SINDARU) PADA DINAS PENDIDIKAN KOTA TANGERANG SELATAN","Rekayasa Perangkat Lunak","","",""
"240","REKAYASA PERANGKAT LUNAK SISTEM INFORMASI PENGIRIMAN DAN PENERIMAAN SURAT ATAU PAKET BERBASIS WEB (Studi Kasus  PT. Jaya Trade Indonesia)","Rekayasa Perangkat Lunak","","",""
"241","Perancangan Media Pembelajaran Sekolah Dasar Berbasis Android Menggunakan Metode Rekayasa Perangkat Lunak Air Terjun ( Waterfall )","Rekayasa Perangkat Lunak","","",""
"242","Perangkat Lunak Computer Based Estimation (CBET) Kesemaptaan Jasmani Untuk Calon Tamtama PK TNI AD pada Korem 064Maulana Yusuf","Rekayasa Perangkat Lunak","","",""
"243","Rekayasa Kebutuhan dengan Metode Pemodelan Berbasis Linguistik dan Ontologi pada Sistem Penilaian Prestasi Kerja Pegawai Dinas Kominfo Kota Malang","Rekayasa Perangkat Lunak","","",""
"244","Studi Komparatif Model Proses Perangkat Lunak Terhadap Karakteristik Sistem ERP","Rekayasa Perangkat Lunak","","",""
"245","PERANCANGAN PERANGKAT LUNAK SIMULASI PENGAMANAN TANDA TANGAN DENGAN MENGUNAKAN METODE SCHNORR AUTHENTICATION DAN DIGITAL SIGNATURE SCHEME","Rekayasa Perangkat Lunak","","",""
"246","Rekayasa Kebutuhan Kualitas Perangkat Lunak untuk Peningkatan Nilai Kualitas Game Edukasi berbasis Mobile dengan Tema Pariwisata","Rekayasa Perangkat Lunak","","",""
"247","REPRESENTASI PENGETAHUAN (KNOWLEDGE) BERBASIS RULE (RULE-BASED) DALAM MENGANALISA KEKURANGAN VITAMIN PADA TUBUH MANUSIA","Rekayasa Perangkat Lunak","","",""
"248","Pembangunan Aplikasi Honda Care sebagai Sistem Perawatan Sepeda Motor menggunakan Metode Prototyping (Studi Kasus pada AHASS di Kota Malang)","Rekayasa Perangkat Lunak","","",""
"249","Rekayasa Perangkat Lunak Penjadwalan dan Pemesanan Iklan Radio (Studi Kasus  Radio Classy FM)","Rekayasa Perangkat Lunak","","",""
"250","REKAYASA PERANGKAT LUNAK PERBANDINGAN METODE PEROLEHAN BARANG UNTUK OPTIMALISASI LABA","Rekayasa Perangkat Lunak","","",""
"251","WIRELESS DEVELOPMENT SEBAGAI MODEL PENGEMBANGAN PERANGKAT LUNAK MOBILE MEDIA PENDUKUNG ASIAN GAMES XVIII","Rekayasa Perangkat Lunak","","",""
"252","Perancangan Alat Ukur Kualitas Perangkat Lunak Menggunakan Komponen ISOIEC 9126","Rekayasa Perangkat Lunak","","",""
"253","ANALISIS DAN DESAIN PERANGKAT LUNAK GENERATE FILE AKUN UANG KULIAH TUNGGAL (UKT) UNIVERSITAS PALANGKA RAYA","Rekayasa Perangkat Lunak","","",""
"254","Metode Rational Unified Process untuk Pengembangan Aplikasi Web dan Mobile (Studi Kasus Sistem Informasi Tanaman Obat Daerah Gorontalo)","Rekayasa Perangkat Lunak","","",""
"255","ANALISA METODOLOGI PENGEMBANGAN SISTEM DENGAN PERBANDINGAN MODEL PERANGKAT LUNAK SISTEM INFORMASI KEPEGAWAIAN MENGGUNAKAN WATERFALL DEVELOPMENT MODEL, MODEL PROTOTYPE, DAN MODEL RAPID APPLICATION DEVELOPMENT (RAD)","Rekayasa Perangkat Lunak","","",""
"256","Rancangan Perangkat Lunak Aplikasi Kenaikan Jabatan Fungsional Dosen","Rekayasa Perangkat Lunak","","",""
"257","REKAYASA PERANGKAT LUNAK PENCARIAN RUMAH KOST DENGAN DIJKSTRA'S ALGORITHM OPTIMIZATION","Rekayasa Perangkat Lunak","","",""
"258","RANCANG BANGUN SISTEM INFORMASI PEMINJAMAN PERANGKAT DEMO VIDEO CONFERENCE BERBASIS WEB DENGAN MODEL WATERFALL","Rekayasa Perangkat Lunak","","",""
"259","REKAYASA PERANGKAT LUNAK SELEKSI PENENTUAN VENDOR JASA TENAGA KERJA DENGAN METODE SAW","Rekayasa Perangkat Lunak","","",""
"260","REKAYASA PERANGKAT LUNAK SELEKSI PENENTUAN VENDOR JASA TENAGA KERJA DENGAN METODE SAW","Rekayasa Perangkat Lunak","","",""
"261","Aplikasi Arduino Uno Pada Modul Robot Manusia Sebagai Mediasi Pengajaran Desain, Narasi dan Simulasi","Robotika","","",""
"262","APLIKASI BASE STATION UNTUK ROBOT SEPAK BOLA BERODA","Robotika","","",""
"263","Autonomous Sales Robot untuk Pengenal Produk Berbasis Barcode dan Arduino ATMega328","Robotika","","",""
"264","Balancing Robot Beroda Dua Menggunakan Metoda Kontrol Proporsional, Integral dan Derivatif","Robotika","","",""
"265","Bimbingan Teknis Pemrograman Arduino Robot Soccer Untuk Siswa SMP IT dan SMP Negeri 10 Magelang","Robotika","","",""
"266","Implementasi Algoritma Wall Following pada Manuver Robot KRPAI Quadruped Omni Direction Menggunakan Metode Fuzzy Sugeno","Robotika","","",""
"267","IMPLEMENTASI KENDALI FUZZY-PID SEBAGAI METODE WALL FOLLOWING PADA ROBOT HEXAPOD KONTES ROBOT PEMADAM API INDONESIA (KRPAI)","Robotika","","",""
"268","IMPLEMENTASI KONTROL LQR PADA SISTEM KESETIMBANGAN ROBOT BERODA DUA","Robotika","","",""
"269","IMPLEMENTASI METODE PCQ-QUEUE TREE PADA ROUTER MIKROTIK DAN MONITORING CACTI UNTUK PENINGKATAN QUALITY OF SERVICE","Robotika","","",""
"270","IMPLEMENTASI PERANCANGAN ROBOT LINE FOLLOWER BERBASIS MIKROKONTROLER ATMEGA32A","Robotika","","",""
"271","KONTROL PROPORTIONAL INTEGRAL (PI) PADA ROBOT LINE FOLLOWER","Robotika","","",""
"272","OPTIMASI REALTIME CONTROL SYSTEM PADA NAVIGASI MOBILE ROBOT","Robotika","","",""
"273","Pelatihan Robot Line Tracer Analog untuk Meningkatkan Prestasi Siswa Madrasah Ibtidaiyah Muhammadiyah Wonorejo 27 Surabaya","Robotika","","",""
"274","PELATIHAN ROBOTIKA BERBASIS ANDROID UNTUK MENUMBUHKAN INOVASI DAN KREATIVITAS DI SMP 11 BANDUNG","Robotika","","",""
"275","PEMBELAJARAN BERBASIS STEM MELALUI PELATIHAN ROBOTIKA","Robotika","","",""
"276","Pendeteksi Wajah Secara Real Time pada 2 Degree of Freedom (DOF) Kepala Robot Menggunakan Deep Integral Image Cascade","Robotika","","",""
"277","Penentuan Peserta Tim Robot Menggunakan Perspektif Knowledge Management dan Pendekatan Metode AHP (Studi Kasus Laboratorium Robotika Universitas XYZ)","Robotika","","",""
"278","PENGEMBANGAN MEDIA “AGUS TRAINER” UNTUK PEMBELAJARAN ROBOTIKA","Robotika","","",""
"279","PENGEMBANGAN MEDIA PEMBELAJARAN ROBOTIKA MENGGUNAKAN MOBILE ROBOT MANIPULATOR BERBASIS KOMUNIKASI DATA WI-FI DENGAN PROTOKOL TCP IP","Robotika","","",""
"280","PENGEMBANGAN MEDIA TRAINER KIT MOBILE ROBOT QUADCOPTER PADA MATA KULIAH ROBOTIKA JURUSAN TEKNIK ELEKTRO FAKULTAS TEKNIK UNIVERSITAS NEGERI MALANG","Robotika","","",""
"281","PENGEMBANGAN MODUL MATA KULIAH ELEKTRONIKA DASAR II MATERI ROBOTIKA UNTUK MENINGKATKAN KEMANDIRIAN DAN PENGETAHUAN","Robotika","","",""
"282","PENGEMBANGAN SISTEM INFORMASI LABORATORIUM TEKNIK INFORMATIKA DAN PENENTUAN PENGADAAN BAHAN HABIS PAKAI PRAKTIKUM MENGGUNAKAN ALGORITMA C4.5","Robotika","","",""
"283","PENGEMBANGAN SISTEM PENGAMAN PINTU LABORATORIUM ROBOTIKA UIN SULTAN SYARIF KASIM BERDASARKAN SIULAN BERBASIS SENSOR FC-04 DAN MIKROKONTROLER ATMEGA 328","Robotika","","",""
"284","Penggunaan Sensor Kesetimbangan Accelerometer dan Sensor Halangan Ultrasonic pada Aplikasi Robot Berkaki Dua","Robotika","","",""
"285","PENINGKATAN KETERAMPILAN SISWA SMAMA BIDANG SAINS DAN TEKNOLOGI MELALUI PELATIHAN ROBOTIKA BERBASIS MIKROKONTROLLER","Robotika","","",""
"286","Perancangan Kendali Robot pada Smartphone Menggunakan Sensor Accelerometer Berbasis Metode Fuzzy Logic","Robotika","","",""
"287","Perhitungan Inverse Kinematics dan Pengukuran Akurasi Pergerakan pada Robot Manipulator Lenga","Robotika","","",""
"288","Prototype Sistem Pendeteksi dan Penetralisir Asap Rokok Menggunakan Robotika dengan Fitur Air Quality Berbasis Android","Robotika","","",""
"289","RANCANG BANGUN PROTOTYPE ROBOT LENGAN MENGGUNAKAN FLEX SENSOR DAN ACCELEROMETER SENSOR PADA LAB MIKROKONTROLER STMIK MUSIRAWAS","Robotika","","",""
"290","Rancang Bangun Robot Penari Humanoid dengan Menggunakan 25 DoF untuk Melakukan Gerakan Tari Remo","Robotika","","",""
"291","Rancang Bangun Sistem Sortasi Kematangan Buah Semi Otomatis Berbasis Arduino","Robotika","","",""
"292","Rancang Bangun Smart Lamp Menggunakan Micro Controller Arduino UNO","Robotika","","",""
"293","Rancang Bangun Trainer Robot Bergerak Berbasis Mikrokontroler Sebagai Media Pembelajaran Pada Mata Kuliah Robotika","Robotika","","",""
"294","Raspberry Pi sebagai pengontrol lampu dengan sensor PIR untuk alat peraga praktikum mikrokontroller dan robotika di FTIK USM","Robotika","","",""
"295","Robot Kapal Selam Pendeteksi Keberadaan Benda","Robotika","","",""
"296","Simulasi Robot Manipulator 4 DOF Sebagai Media Pembelajaran dalam Kasus Robot Menulis Huruf","Robotika","","",""
"297","SIMULASI TRAFFIC LIGHT PADA PEREMPATAN DENGAN SISTEM MIKROKONTROLER ATMEGA 328","Robotika","","",""
"298","SISTEM INVERSE KINEMATICS PADA ROBOTICS ARM MENGGUNAKAN MULTILAYER BACK PROPAGATION NEURAL NETWORK UNTUK MENINGKATKAN AKURASI OUTPUT KOORDINAT DARI ROBOTICS ARM DI LABORATORIUM MEKATRONIKA DAN ROBOTIKA","Robotika","","",""
"299","Pengendali Lengan Robot Dengan Mikrokontroler Arduino Berbasis Smartphone","Robotika","","",""
"300","PENGEMBANGAN DESAIN, SIMULASI DAN PENGUJIAN ROBOT TANGAN MENGGUNAKAN FLEX SENSOR TERINTEGRASI DENGAN 3D ANIMATION SIMMECHANICS","Robotika","","",""
