"No","Judul","Topik","Abstrak","",""
"82","PEMANFAATAN DATA MINING DENGAN METODE CLUSTERING UNTUK EVALUASI BIAYA DOKUMEN EKSPOR DI PT WINSTAR BATAM","Data Mining","Data Mining merupakan teknologi yang sudah ada dan berkembang cukup lama. Banyak perusahaan yang kurang memanfaatkan data-data lama yang tersimpan di dalam database, untuk dimanfaatkan semaksimal mungkin. Penelitian ini mencoba menerapkan teknologi Data Mining dengan menggunakan metode clustering untuk mendapatkan pengetahuan baru, yang diharapkan bermanfaat bagi kelangsungan dan perkembangan perusahaan. Algoritma yang digunakan yaitu K-Means Clustering yaitu proses pengelompokan sejumlah data atau objek ke dalam cluster (group) sehingga setiap cluster tersebut akan berisi data yang semirip mungkin dan berbeda dengan objek dalam cluster yang lainnya. Pengujian dilakukan dengan aplikasi Rapid Miner 5.3. Hasilnya adalah cluster-cluster pengelompokan data pelanggan yang disarankan untuk di evaluasi biaya pengurusan dokumen ekspornya.
Kata Kunci : Data Mining, K-Means Clustreing, Evaluasi Biaya Dokumen Ekpor.","",""
"83","Pemanfaatan Data Mining Untuk Penempatan Buku Di Perpustakaan Menggunakan Metode Association Rule","Data Mining","Data Mining merupakan proses analisa data untuk menemukan suatu pola dari kumpulan data
yang tersembunyi dengan memanfaatkan data kunjungan perpustakaan, dapat menggali
informasi tentang buku- buku apa yang sering dipinjam oleh pengunjung dan keterkaitan antar
masing-masing peminjaman hingga dapat melakukan penyusunan dan tata letak buku. Pada
sistem yang berjalan penempatan buku dilakukan berdasarkan kategori buku yang telah
tersedia pada rak buku namun belum diatur berdasarkan intensitasi peminjaman buku yang
dilakukan oleh anggota sehingga masih banyak buku-buku lama yang masih tersedia di
perpustakaan. Untuk dapat melakukan penempatan buku sesuai dengan kebutuhan anggota
perlu dilakukan suatu proses pengolahan data peminjaman buku dengan menggunakan
algoritma appriori melalui penerapan metode association rule agar dapat diketahui support
dan confidance antara buku-buku yang sering di pinjam sehingga dapat diketahui pola
penempatan buku. Dibandingkan dengan sistem yang sedang berjalan kinerja tersebut
ditunjukan pada efektifitas informasi dari sistem tentang penentuan pola penempatan buku
untuk tata letak buku dan memudahkan dalam mengetahui keberadaan buku dalam hal ini
berdasarkan 3 item set buku.
Kata kunci: Data Mining, Rule Assosiasi, Perpustakaan.","",""
"84","Penerapan Algoritma Apriori dalam Data Mining untuk Memprediksi Pola Pengunjung pada Objek Wisata Kabupaten Karo","Data Mining","Klasifikasi association rule merupakan salah satu teknik dalam data mining yang digunakan
dalam penelitian ini untuk mengolah data pengunjung dalam objek wisata. Pada penelitian ini
untuk mendapatkan pola/rule pengunjung wisata aplikasi bantu yang digunakan adalah weka,
Associatiation rule adalah data mining yang berguna untuk menemukan suatu korelasi atau
pola yang terpenting/menarik dari sekumpulan data besar. Algoritma Apriori adalah salah satu
algoritma yang melakukan pencarian frequent itemset dengan menggunakan teknik
association rule, dengan menggunakan algoritma apriori dapat menghasilkan pola pengunjung
dari tanah 2015 dan 2016 pada objek wisata kabupaten karo, dengan algoritma Apriori dapat
disimpulkan bahwa pada tahun 2015 jumlah pengunjung lebih sedikit. Pada penelitian ini data
yang digunakan sebanyak 122 data jumlah pengunjung bulanan pada pariwisata dari tahun
2015 hingga 2016. Hasil pengujian menunjukkan bahwa nilai confiden yang paling tinggi
mencapai 0,92.
Keywords – pariwisata, apriori, data mining, frequent itemset","",""
"85","PENERAPAN DATA MINING DALAM MENENTUKAN PILIHAN JURUSAN BIDANG STUDI SMA MENGGUNAKAN METODE CLUSTERING DENGAN TEKNIK SINGLE LINKAGE","Data Mining","Salah satu cara untuk meningkatkan kualitas siswa sekolah menengah adalah dengan membentuk kelas favorit di mana kelas akan menjadi kelas unggulan dibandingkan dengan kelas lain. Siswa akan dipilih berdasarkan 3 variabel, yaitu indeks kehadiran, nilai rata-rata semester dan juga etika siswa itu sendiri. Data mining adalah penambangan atau penemuan informasi baru dengan mencari pola tertentu atau aturan sejumlah besar data yang diharapkan untuk mengatasi kondisi tersebut, memanfaatkan data yang diperoleh dari SMA untuk mengelompokkan siswa menggunakan metode pengelompokan menggunakan teknik hubungan tunggal. Dengan menggunakan metode clustering diharapkan akan mempermudah pengelompokan siswa - siswa yang masuk ke kelas XI. Jadi hasil penelitian ini juga akan digunakan dalam menentukan siswa - siswa yang akan masuk kelas jurusan. Kata kunci: Data Mining, clustering, single lingkage, pemilihan departemen
PENDAHULUAN
Lembaga pendidikan seperti pendidikan SMA","",""
"86","PENERAPAN DATA MINING MENGGUNAKAN ASSOCIATION RULES UNTUK MENDUKUNG STRATEGI PEMASARAN","Data Mining","Pertumbuhan yang pesat dari akumulasi data telah menciptakan kondisi kaya akan
data tapi minim informasi. Data mining m merupakan penambangan atau penemuan
informasi baru dengan mencari pola atau aturan tertentu dari sejumlah data dalam jumlah
besar yang diharapkan dapat mengatasi kondisi tersebut. Dengan memanfaatkan data calon
mahasiswa dan data mahasiswa, diharapkan dapat menghasilkan informasi tentang sumber
informasi yang digunakan oleh calon mahasiswa yang dapat dimanfaatkan oleh manajemen
dalam melakukan usaha-usaha yang terkait dengan peningkatan jumlah mahasiswa dengan
melakukan pemilihan media promosi yang tepat melalui teknik data mining.
Algoritma yang digunakan adalah algoritma apriori, informasi yang ditampilkan
berupa nilai support dan confidence dari masing-masing pola yang terbentuk. Dari uji
coba terhadap data calon mahasiswa dan data mahasiswa dengan model Association rules
dihasilkan beberapa aturan dengan tingkat nilai maksimum confidence sebesar 81,1%
Untuk sumber informasi yang berasal dari media Koran dan tingkat nilai maksimum
confidence sebesarb 77,8% untuk sumber informasi melalui media brosur.Saatini media
promosi yang tepat untuk digunakan oleh timp emasaran dalam menjaring calon
mahasiswa baru adalah media Koran dan media brosur dengan tidak mengabaikan media
promosi yang lain.
Kata kunci: data mining, Association rules, algoritma apriori, confidence, support","",""
"87","PENERAPAN DATA MINING MENGGUNAKAN ALGORITMA K-MEANS UNTUK MENGETAHUI MINAT CUSTOMER DI TOKO HIJAB","Data Mining","Hijab bukanlah hal yang asing bagi penduduk di Indonesia, karna sebagian besar dari penduduk Indonesia beragama islam. Saat ini banyak para pelaku bisnis terutama penjual hijab yang menyediakan berbagai macam brand dan model pada hijab yang mereka jual. Oleh sebab itu para penjual di tuntut untuk dapat berfikir cerdas dalam membuat strategi penjualan yang pastinya akan berguna untuk mengetahui dengan jelas produk mana yang paling diminati oleh para customer, dan juga untuk meningkatkan penjualan pada toko mereka. Maka perlu adanya suatu alternatif yang dapat mewujudkan pencatatan data transaksi penjualan dengan lebih cepat dan terstruktur. Dalam penelitian ini penulis menerapkan algoritma k-means untuk mengetahui minat customer terhadap produk yang mereka jual. Pada perhitungan yang telah dilakukan dengan menggunakan dua buah parameter yaitu transaksi dan jumlah penjualan dan melewati tiga kali melakukan iterasi dengan hasil iterasi satu mendapatkan nilai rasio sebesar 0,374324132, iterasi dua mendapatkan rasio 0,543018325, dan iterasi tiga mendapatkan nilai rasio yang sama dengan iterasi kedua. Maka dapat disimpulkan bahwa hijab yang paing diminati oleh para customer adalah hijab dengan brand Rabbani, Elzatta, dan Zoya, hijab yang peminatnya rendah dengan brand Dian Pelangi, Kami Idea, dan Meccanism. Dan hijab dengan peminat yang tidak tinggi dan juga tidak rendah adalah hijab dengan
brand Ria Miranda, Jenahara, Shasmira, dan
Shafira.
Kata Kunci: Hijab, Minat Customer, Metode KMeans","",""
"88","PENERAPAN DATA MINING REKOMENDASI BUKU MENGGUNAKAN ALGORITMA APRIORI","Data Mining","Abstrak - Perpustakaan Kota Cilegon memiliki total koleksi sebanyak 13.792 judul dan 30.135 eksemplar. Dengan buku sebanyak itu pengelolaan rekomendasi buku harus diperhatikan supaya mempermudah petugas perpustakaan dalam merekomendasikan buku untuk pengunjung.Untuk itu diperlukan suatu metode dalam pencarian pola peminjam buku, salah satunya dengan datamining. Penelitian ini bertujuan untuk mencari pola peminjaman buku dengan memanfaatkan algoritma apriori dalam menentukan rekomendasi buku pada Dinas Perpustakaan dan Arsip Daerah (DPAD) Kota Cilegon agar memudahkan petugas perpustakaan dalam menentukan buku yang ingin direkomendasikan pada pengunjung. Metode yang digunakan yaitu Algoritma Apriori dimana metode ini menentukan itemset dari transaksi pinjaman buku yang kemudian dikelompokan dalam tabel itemset1, tabel itemset2, tabel nilai support, tabel nilai confidence dan mendapatkan pola pinjaman buku. Kesimpulan dari penelitian ini adalah dengan menerapkan data mining dapat menghasilkan suatu informasi dari transaksi pinjaman buku pada Dinas Perpustakaan dan Arsip Daerah (DPAD) Kota Cilegon.
Kata Kunci : Data Mining, Algoritma Apriori, Assosiation Rule, Rekomendasi Buku, Perpustakaan Kota Cilegon","",""
"89","PENERAPAN DATA MINING UNTUK ANALISIS POLA PEMBELIAN KONSUMEN DENGAN ALGORITMA FP-GROWTH PADA DATA TRANSAKSI PENJUALAN SPARE PART MOTOR","Data Mining","Pada perusahaan yang mempunyai banyak cabang atau dealer seperti CV.TJAHAJA BARU ini, membutuhkan lokasi yang harus diperhatikan dalam mendirikan sebuah cabang baru , harus dapat mempengaruhi pola pembelian konsumen, karena pola pembelian setiap konsumen berbeda – beda. Hal ini perlu dianalisis lebih jauh sehingga dapat menghasilkan informasi yang bermanfaat, serta memaksimalkan keuntungan yang bisa diperoleh. Data Mining bisa digunakan oleh perusahaan besar untuk menggali data untuk mendapatkan informasi yang dapat menunjang dan meningkatkan proses bisnis perusahaan tersebut. Maka dalam penelitian ini dilakukan pengujian meggunakan algoritma FP-Growth untuk membantu perusahaan mengetahui pola pembelian konsumen dan transaksi penjualan spare part.
Kata kunci: Data Mining,Algoritma FP-Growth, Pembelian konsumen","",""
"90","Penerapan Data Mining Untuk Clustering Data Penduduk Miskin Menggunakan Algoritma Hard C-Means","Data Mining","Sumber data dari BPS tahun 2016 menunjukkan bahwa Jumlah penduduk miskin di provinsi Daerah Istimewa
Yogyakarta tergolong tinggi, sejumlah 532.590 penduduk dengan prosentase kemiskinan 14,55%. Berdasarkan
angka tersebut terlihat masih tingginya angka kemiskinan yang ada di wilayah Yogyakarta secara umum.
Berdasarkan kondisi tersebut perlu dibangun sistem klastering untuk membantu BKKBN dalam pengelompokan
keluarga miskin sehingga bantuan dapat tersalurkan dengan tepat. Penelitian ini menggunakan metode Hard CMeans
dalam klastering penduduk miskin. Hasil perhitungan menunjukkan, dari 1313 sample data penduduk
miskin di Kecamatan Bantul, dengan jumlah klaster sebanyak 3, maksimal iterasi 100, pembobot 2 dan error
terkecil 0,000001, diperoleh 253 penduduk masuk sebagai anggota klaster 1, 763 penduduk berada diklaster 2
dan 297 penduduk di klaster 3.
Kata Kunci :
Clustering, Data Mining, Hard C-Means, Kemiskinan","",""
"91","Penerapan Data Mining Untuk Memprediksi Pemesanan Bibit Pohon Dengan Regresi Linear Berganda","Data Mining","Data mining, sering juga disebut knowledge discovery in database (KDD), adalah kegiatan yang meliputi pengumpulan, pemakaian data
historis untuk menemukan keteraturan, pola atau hubungan dalam set data berukuran besar. Keluaran dari data mining bisa dipakai untuk
memperbaikin pengambilan keputusan dimasa depan. Masalah yang sering terjadi pada BPDASHL adalah masalah estimasi seperti cuaca,
kesulitan dalam penanaman, kurangnya tenaga kerja, kurang pengalaman dalam pembibitan pohon, serta kondisi tanah yang berbeda-beda.
Masalah lain yang terdapat dalam instansi yaitu belum mempunyai sistem untuk memprediksi estimasi pemesanan bibit pohon setiap
tahunnya sehingga diperlukan suatu metode yaitu Algoritma Regresi Linear Berganda. Maka dengan ini dibuatlah Penerapan Data Mining
Untuk Memprediksi Pemesanan Bibit Pohon Dengan Regresi Linear Berganda. Algoritma Regresi Linear Berganda yang merupakan
metode yang mendukung dalam memperkirakan atau memprediksi target pemesanan untuk periode yang akan datang. Pengujian Algoritma
dilakukan dengan menggunakan software SPSS. Dari hasil penelitian yang telah dilakukan maka dapat membantu pihak BPDASHL untuk
mempermudah dalam memprediksi pemesanan bibit dengan menggunakan Software SPSS.
Kata Kunci: Data Mining, Prediksi, Regresi Linear Berganda","",""
"92","PENERAPAN DATAMINING DALAM MENGELOMPOKKAN KUNJUNGAN WISATAWAN KE OBJEK WISATA UNGGULAN DI PROV. DKI JAKARTA DENGAN K-MEANS","Data Mining","Kunjungan wisatawan asing ke indonesia dapat meningkatkan devisa negara dan
meningkatkan perekonomian masyarakat di daerah wisata. Jakarta adalah ibukota indonesia
yang menjadi salah satu tujuan wisata bagi turis. Ada 8 objek wisata unggulan di provinsi DKI
jakarta menurut data BPS Prov. DKI Jakarta yakni 1) Taman Impian Jaya Ancol, 2) Taman Mini
Indonesia Indah, 3) Kebon Binatang Ragunan, 4) Monumen Nasional, 5) Museum Nasional,
6) Museum Satria Mandala, 7) Museum Sejarah Jakarta Dan 8) Pelabuhan Sunda Kelapa. Tujuan
penelitian ini adalah melakukan analsiis penerapan datamining dalam mengelompokkan
jumlah kunjungan wisatawan asing ke Prov. DKI Jakarta menggunakan k-means. Sumber data
penelitian berasal dari BPS Prov. DKI Jakarta. Data penelitian yang digunakan adalah jumlah
pengunjung wisatawan tahun 2007-2013 sesuai dengan BPS Prov. DKI Jakarta. Data dikelompokkan
menjadi 3 cluster yaitu C1= jumlah kunjungan wisatawan tinggi, C2=jumlah kunjungan
wisatawan sedang dan C3= jumlah kunjungan wisatawan rendah. Nilai centroid akhir yang
digunakan pada C1= 15.438.488, C2= 4.464.577 dan C3= 342.332. Sehingga diperoleh hasil
pengelompokan C1= Taman Impian Jaya Ancol, C2= Taman Mini Indonesia Indah Dan Kebon
Binatang Ragunan dan C3= Monumen Nasional, Museum Nasional, Museum Satria Mandala,
Museum Sejarah Jakarta Dan Pelabuhan Sunda Kelapa. Hasil pengelompokan C3 menjadi
catatan bagi pemerintah Prov. DKI. Jakarta.
Kata Kunci : Datamining, K-Means, Objek Wisata, Jakarta","",""
"93","PENERAPAN DATAMINING PADA EKSPOR BUAH-BUAHAN MENURUT NEGARA TUJUAN MENGGUNAKAN K-MEANS CLUSTERING METHOD","Data Mining","Indonesia adalah salah satu negara pengekspor ke negara-negara maju dan berkembang. Tujuan dari eksportir adalah untuk dapat memperoleh keuntungan. Penelitian ini membahas tentang Penerapan Datamining Pada Ekspor Buah-Buahan Menurut Negara Tujuan Menggunakan K-Means Clustering Method. Sumber data penelitian ini dikumpulkan berdasarkan dokumen-dokumen keterangan ekspor impor yang dihasilkan oleh Direktorat Jenderal Bea dan Cukai. Data yang digunakan dalam penelitian ini adalah data dari tahun 2002-2015 yang terdiri dari 11. Variable yang digunakan (1) jumlah ekspor berat bersih (netto) dan (2) nilai Free On Board (FOB). Data akan diolah dengan melakukan clustering dalam 3 cluster yaitu cluster tingkat ekspor tinggi, cluster tingkat ekspor sedang dan cluster tingkat ekspor rendah. Centroid data untuk cluster tingkat ekspor tinggi 904.276,5, Centroid data untuk cluster tingkat ekspor sedang 265.501 dan Centroid data untuk cluster tingkat ekspor rendah 34.280,1. Sehingga diperoleh penilaian berdasarkan indeks ekspor buah-buahan dengan 2 negara cluster tingkat ekspor tinggi yakni India dan Pakistan, 3 negara cluster tingkat ekspor sedang yakni Singapura, Bangladesh dan Negara lainnya dan 6 negara cluster tingkat ekspor rendah yakni Hongkong, Tiongkok, Malaysia, Nepal, Vietnam dan Iran. Hal ini dapat menjadi masukkan kepada pemerintah, negara yang menjadi prioritas tertinggi pada kegiatan ekspor buah-buahan berdasarkan klaster yang telah dilakukan.
Kata kunci--Clustering, K-Means, Data Mining, ekspor, buah-buahan","",""
"94","PENERAPAN DATAMINING PADA POPULASI DAGING AYAM RAS PEDAGING DI INDONESIA BERDASARKAN PROVINSI MENGGUNAKAN K-MEANS CLUSTERING","Data Mining","Ayam bukanlah makanan yang asing bagi penduduk Indonesia. Makanan tersebut sangat mudah
dijumpai dalam kehidupan masyarakat sehari-hari. Namun tingkat konsumsi daging ayam di Indonesia
masih tergolong rendah dibandingkan dengan Negara tetangga. Penelitian ini membahas tentang Penerapan
Datamining Pada Populasi Daging Ayam Ras Pedaging di Indonesia Berdasarkan Provinsi Menggunakan KMeans
Clustering. Sumber data penelitian ini dikumpulkan berdasarkan dokumen-dokumen keterangan
populasi daging ayam yang dihasilkan oleh Badan Pusat Statistik Nasional. Data yang digunakan dalam
penelitian ini adalah data dari tahun 2009-2016 yang terdiri dari 34 provinsi. Variable yang digunakan (1)
jumlah populasi dari tahun 2009-2016. Data akan diolah dengan melakukan clushtering dalam 3 clushter
yaitu clusther tingkat populasi tinggi, clusther tingkat populasi sedang dan rendah. Centroid data untuk
cluster tingkat populasi tinggi 4711403141, Centroid data untuk cluster tingkat populasisedang 304240647,
dan Centroid data untuk cluster tingkat populasi rendah 554200. Sehingga diperoleh penilaian berdasarkan
indeks populasi daging ayam dengan 1 provinsi tingkat populasi tinggi yaitu Jawa Barat, 6 provinsi tingkat
populasi sedang yaitu Sumatera Utara, Jawa Tengah, Jawa Timur, Banten, Kalimantan Selatan dan
Kalimantan Timur, dan27 provinsi lainnya termasuk tingkat populasi rendah. Hal ini dapat menjadi
masukan kepada pemerintah, provinsi yang menjadi perhatian lebih pada populasi daging ayam berdasarkan
cluster yang telah dilakukan.
Kata Kunci - Clustering, K-Means, Data Mining, Populasi, Ayam Ras Pedaging.","",""
"95","PENERAPAN METODE DATA MINING MARKET BASKET ANALYSIS TERHADAP DATA PENJUALAN PRODUK BUKU DENGAN MENGGUNAKAN ALGORITMA APRIORI DAN FREQUENT PATTERN GROWTH (FP-GROWTH)  STUDI KASUS PERCETAKAN PT. GRAMEDIA","Data Mining","Data mining merupakan proses analisa data untuk menemukan suatu pola dari kumpulan data
tersebut. Data mining mampu menganalisa data yang besar menjadi informasi berupa pola yang
mempunyai arti bagi pendukung keputusan. Salah satu teknik data mining yang dapat digunakan
adalah association data mining atau yang biasa disebut dengan istilah market basket analysis.
Market basket didefinisikan sebagai suatu itemset yang dibeli secara bersamaan oleh pelanggan
dalam suatu transaksi. Market basket analysis adalah suatu alat yang ampuh untuk pelaksanaan
strategi cross-selling. Metode ini dimulai dengan mencari sejumlah frequent itemset dan
dilanjutkan dengan pembentukan aturan-aturan asosiasi (association rules). Algoritma Apriori
dan frequent pattern growth (FP-growth) adalah dua algoritma yang sangat populer untuk
menemukan sejumlah frequent itemset dari data-data transaksi yang tersimpan dalam basis data.
Dalam penelitian ini algoritma Apriori dan frequent pattern growth (FP-growth) digunakan untuk
membantu menemukan sejumlah aturan asosiasi dari basis data transaksi penjualan produk buku
di Percetakan PT. Gramedia, sehingga untuk selanjutnya dapat digunakan sebagai pertimbangan
dalam membuat strategi pemasaran dan penjualan yang efektif.
Kata kunci : data mining, association rules, market basket analysis, Apriori, frequent pattern
growth, FP-growth","",""
"96","PENERAPAN TEKNIK DATA MINING UNTUK CLUSTERING ARMADA PADA PT. SIAGA TRANSPORT INDONESIA MENGGUNAKAN METODE K-MEANS","Data Mining","PT. Siaga Transport Indonesia adalah perusahaan yang bergerak dibidang expedisi. Armada
menjadi aset penting untuk perusahaan yang bergerak di bidang ini. Beratnya muatan yang diangkut,
jauhnya jarak yang ditempuh, dan usia armada menjadi faktor penyebab kerusakan armada. Hal ini
berpengaruh terhadap potensi armada. Untuk itu diperlukan analysis clustering menggunakan metode kmeans
untuk mengetahui armada yang potensial dan yang kurang potensial. Clustering merupakan teknik
pengelompokkan objek yang didasarkan pada kemiripan antar objek dalam satu cluster. K-means
merupakan metode clustering yang mempunyai kemampuan mengelompokkan data dalam jumlah cukup
besar dengan waktu komputasi yang relatif cepat dan efisien. Dalam penelitian ini sistem akan
mengelompokkan 33 armada dengan menggunakan variabel biaya operasional, tahun kendaraan,
produktivitas armada dan kilometer armada menjadi 3 kelompok dengan kategori cluster armada
berpotensi rendah, sedang dan tinggi. Dari hasil akhir sistem diketahui cluster 1 atau armada dengan
potensi rendah ada 7 armada, cluster 2 atau armada dengan potensi sedang ada 14 armada, cluster 3
atau armada dengan potensi tinggi ada 12 armada. Pengujian dilakukan dengan metode silhouette
coefficient dengan rentang variasi nilai yang dihasilkan yaitu dibawah nol sampai dengan 0,9.
Kata kunci: Data Mining, Clustering, K-means","",""
"97","PERBANDINGAN METODE DATA MINING SVM DAN NN UNTUK KLASIFIKASI PENYAKIT GINJAL KRONIS","Data Mining","Dalam dunia bisnis yang selalu dinamis dan penuh persaingan, para pelakunya harus
senantiasa memikirkan cara-cara untuk terus survive dan jika mungkin mengembangkan skala
bisnis mereka.
PT. Pepsi Cola Indobeverages merupakan perusahaan yang bergerak dalam bidang
industri minuman. Tidak hanya PT. Pepsi Cola Indobeverages, masih cukup banyak perusahaanperusahaan
lain yang bergerak dibidang serupa. Hal tersebut tentu saja menimbulkan persaingan
bisnis antarperusahaan.
Dalam rangka menghadapi persaingan bisnis dan meningkatkan pendapatan
perusahaan, pihak terkait dalam perusahaan tersebut dituntut untuk dapat mengambil keputusan
yang tepat dalam menentukan strategi pemasaran produk minuman yang akan dijualnya.
Ketersediaan data yang melimpah, kebutuhan akan informasi (atau pengetahuan) sebagai
pendukung pengambilan keputusan untuk membuat solusi bisnis, dan dukungan infrastruktur di
bidang teknologi informasi merupakan cikal-bakal dari lahirnya teknologi data mining. Data
mining dimaksudkan untuk memberikan solusi nyata bagi para pengambil keputusan di dunia
bisnis, untuk mengembangkan bisnis mereka.
Salah satu metode yang terdapat dalam data mining yang digunakan dalam penelitian ini
adalah pengelompokan (Clustering) dimana metode tersebut mengidentifikasi objek yang memiliki
kesamaan karakteristik tertentu, dan kemudian menggunakan karakteristik tersebut sebagai
“vektor karakteristik” atau “centroid”.
Hasil dari penelitian ini adalah aplikasi yang dapat mempermudah menganalisis
sejumlah data yang besar guna membantu memberikan informasi berharga sebagai gambaran
dasar pengambilan keputusan perusahaan.
Kata kunci : persaingan bisnis, solusi bisnis, teknologi informasi, data mining,
pengelompokan(clustering)","",""
"98","Prediksi Kelulusan Mahasiswa Berdasarkan Kinerja Akademik Menggunakan Pendekatan Data Mining Pada Program Studi Sistem Informasi Fakultas Ilmu Komputer Universitas Brawijaya","Data Mining","Lulus tidak tepat waktu merupakan permasalahan yang sering ditemui pada lingkungan akademik perguruan tinggi. Hal tersebut juga dialami pada program studi Sistem Informasi Universitas Brawijaya dimana rata – rata mahasiswa masuk pada program studi Sistem Informasi setiap tahun kurang lebih 213 mahasiswa, sedangkan rata – rata kelulusan mahasiswanya hanya berjumlah kurang lebih 99 mahasiswa. Ketidakseimbangan tersebut tentu akan menimbulkan kerugian dari pihak akademisi maupun mahasiswa. Sehingga berdasarkan permasalahan tersebut diperlukan prediksi terhadap mahasiswa yang diindikasikan tidak lulus tepat waktu supaya dapat diberikan tindakan lebih lanjut. Salah satu task yang dapat digunakan untuk melakukan prediksi kelulusan dalam data mining dapat menggunakan jenis task klasifikasi. Dengan memanfaatkan salah satu metode algoritme klasifikasi yaitu Naive Bayes, akan dihasilkan pola – pola berdasarkan probabilitas pada tiap atribut yang dapat digunakan untuk menentukan apakah mahasiswa lulus tepat waktu atau tidak. Dari data mahasiswa yang terkumpul berjumlah 1354, data kemudian dilakukan pre-procesing untuk proses mining pada sistem yang dikembangkan dengan basis website dengan memanfaatkan Weka CLI. Informasi dari prediksi kelulusan ditampilkan dalam dashboard sesuai dengan kebutuhan Kaprodi SI. Hasil Pengujian black-box menunjukan sistem valid sesuai dengan kebutuhan yang sudah didefinisikan. Sedangkan hasil pengujian usability dengan System Usability Scale(SUS) menghasilkan nilai 57.5 yang tergolong kedalam adjective rating Good.
Kata kunci: prediksi, data mining, klasifikasi, Naive Bayes, dashboard, black-box testing, System Usability Scale.","",""
"99","Prototype Data Mining Pola Jabatan Fungsional Dosen Menggunakan Teknik Emerging Pattern Studi Kasus Universitas Mercu Buana","Data Mining","Suatu pola untuk menjamin pembinaan karier kepangkatan, jabatan dan peningkatan profesionalisme dosen disebut Jabatan fungsional dosen. Setiap dosen berhak untuk mengajukan kenaikan jabatan fungsional dengan syarat salah satunya adalah liniear dalam bidang ilmu. Data mining mampu menganalisis data menjadi informasi berupa pola yang mempunyai arti bagi pendukung keputusan. Agar proses dalam pencarian pola jabatan fungsional ini menghasilkan nilai tambah dan berguna maka dibutuhkan teknik data mining untuk menganalisanya. Salah satu teknik dalam data mining adalah emerging pattern. Teknik emerging pattern merepresentasikan pengetahuan pembeda yang sangat kuat antara dataset dan menunjukkan kemampuan klasifikasi yang akurat. Hasil dari data mining dengan teknik emerging pattern adalah mendapatkan pola (pattern) dalam jabatan fungsional dan mengelompokkan kelinieritasan pendidikan dosen. Dari hasil learning data diperoleh nilai confidence untuk dataset jenis kelamin nilai confidence untuk itemset Laki-laki dan perempuan sebesar 50%. Dataset jabatan fungsional dosen yang nilai confidence nya lebih besar adalah Lektor 300 dengan nilai confidence sebesar 73%. Dataset jurusan yang mempunyai nilai confidence terbesar adalah psikologi sebesar 85%. Nilai confidencen yang paling besar pada dataset asal perguruan tinggi berasal dari luar negeri sebesar 62% dan pada dataset usia yang paling banyak memiliki jabatan fungisonal dosen berada pada usia 51-70 tahun dengan nilai confidence sebesar 55%.
Kata Kunci: Data Mining, Emerging Pattern, Jabatan Fungsional, Dosen, Linier.","",""
"100","TEKNIK DATA MINING UNTUK PENENTUAN PAKET HEMAT SEMBAKO DAN KEBUTUHAN HARIAN DENGAN MENGGUNAKAN ALGORITMA FP-GROWTH (STUDI KASUS DI ULFAMART LUBUK ALUNG)","Data Mining","Dalam sebuah bisnis, diperlukan upaya memaksimalkan keuntungan.Diantaranya dengan
melakukan promosi.Minimarket Ulfamart belum melakukan inovasi berupa promosi paket
hemat kepada pelanggan.Ketepatan promosi dapat dipelajari dari database sebuah
perusahaan ritel utamanya pola belanja pada produk yang biasa dibeli bersamaan. Informasi
tentang pola belanja pelanggan yang tidak akurat menyebabkan kebijakan promosi tidak tepat
dan efisien.Salah satu upaya lazim untuk memperoleh dan menggali pola belanja pelanggan
adalah menggunakan data mining yang dikenal sebagai Knowledge Discovery in
Database(KDD).Salah satu teknik data mining adalah Association Rule yang merupakan
prosedur dalam Market Basket Analysis.Market basket didefinisikan sebagai suatu itemset yang
dibeli secara bersamaan oleh pelanggan dalam suatu transaksi.Market basket analysis adalah
suatu alat yang ampuh untuk strategi cross-selling.Suatu pola ditentukan oleh dua parameter,
yaitu support (nilai penunjang) dan confidence (nilai kepastian).Algoritma Frequent Pattern
Growth (FP-Growth) digunakan untuk membantu menemukan sejumlah aturan asosiasi dari
basis data dengan menerapkan struktur data Tree atau disebut dengan FP-Tree.Implementasi
menggunakan RapidMiner untuk membantu menemukan pola yang akurat sehingga didapatkan
kombinasi item yang dapat dijadikan sebuah paket hemat.
Kata kunci :data mining, aturan asosiasi, fp-growth, fp-tree, analisis keranjang belanja","",""
